Planting Date,Growth Stage (days),Temperature (°C),Humidity (%),Light Exposure (lux),Soil Moisture (%),Pesticide Used,Predicted Harvest Days
2024-03-24,41,33.5,82.0,1617.2,18.3,1,55
2024-03-24,28,36.7,60.9,831.3,44.6,0,55
2024-01-03,59,27.5,61.7,803.7,27.9,1,55
2024-02-23,23,23.6,52.3,1727.9,28.5,1,55
2024-02-02,26,34.6,52.7,1776.1,41.1,0,55
2024-01-28,55,23.0,56.7,928.8,23.3,1,55
2024-05-08,45,28.7,75.4,413.3,23.0,0,55
2024-01-04,28,29.4,45.3,1244.2,44.6,1,55
2024-04-25,36,30.9,58.5,1354.6,25.3,1,55
2024-03-22,40,26.8,47.3,898.4,24.9,0,55
2024-04-28,59,27.2,78.4,1695.1,15.8,0,55
2024-03-23,30,26.6,69.7,1322.4,29.3,0,55
2024-01-21,35,20.3,59.4,464.1,39.2,1,55
2024-02-20,46,27.2,69.5,513.9,27.8,0,55
2024-06-13,33,30.9,73.5,1617.8,41.3,0,55
2024-04-26,20,25.4,71.9,1168.2,41.2,1,55
2024-01-16,57,29.7,54.7,638.6,43.3,0,55
2024-04-23,16,22.9,82.2,1663.7,38.0,1,55
2024-06-16,57,22.2,50.4,1148.4,36.8,0,55
2024-02-19,53,21.2,58.7,1674.2,37.3,0,55
2024-04-26,29,24.0,49.6,522.8,17.7,1,55
2024-05-12,23,35.4,83.2,1207.7,15.1,0,55
2024-05-07,39,37.6,57.8,911.0,35.4,1,55
2024-06-20,52,24.0,60.8,1153.6,28.8,1,55
2024-02-16,58,28.2,69.1,604.2,35.0,0,55
2024-03-10,47,37.8,49.9,1795.6,36.2,0,55
2024-04-10,60,37.4,47.4,1534.3,19.6,1,55
2024-06-24,18,36.6,76.0,1599.5,36.8,1,55
2024-01-18,40,26.1,72.1,1786.4,37.7,0,55
2024-05-24,33,25.1,81.9,1381.6,31.4,0,55
2024-03-25,52,35.6,47.2,1708.4,24.1,1,55
2024-02-15,59,28.7,80.9,693.7,39.1,1,55
2024-03-24,51,21.8,76.4,1601.8,26.3,0,55
2024-01-04,37,37.5,52.2,473.5,44.4,1,55
2024-04-05,55,33.0,54.8,566.3,26.9,1,55
2024-02-21,39,34.0,84.6,1339.0,17.7,0,55
2024-03-21,56,28.0,45.5,563.3,18.7,1,55
2024-05-19,51,28.6,72.7,532.4,32.8,0,55
2024-06-23,42,25.4,50.0,855.3,36.4,1,55
2024-06-01,40,30.0,66.5,1537.1,29.7,0,55
2024-06-04,26,35.5,72.8,407.5,28.4,1,55
2024-01-05,51,23.7,51.4,1187.5,40.5,0,55
2024-01-17,34,26.5,66.8,992.3,43.4,0,55
2024-03-02,48,36.3,56.7,1147.7,19.2,0,55
2024-05-12,53,29.7,53.4,538.6,39.6,1,55
2024-02-05,34,35.4,53.6,587.9,31.6,1,55
2024-02-24,54,27.6,67.0,764.9,34.5,1,55
2024-04-03,31,32.2,82.6,600.5,21.1,1,55
2024-06-12,51,31.8,77.8,1246.9,27.6,1,55
2024-04-13,16,37.4,54.9,778.2,30.9,0,55
2024-03-21,20,26.5,58.3,782.6,41.1,1,55
2024-01-04,39,37.6,53.9,1732.5,38.5,0,55
2024-05-24,34,30.6,77.3,533.8,25.5,1,55
2024-03-20,21,36.1,51.8,1725.1,26.7,1,55
2024-05-20,40,28.6,50.1,413.3,30.4,1,55
2024-02-13,51,33.2,47.1,1415.6,44.2,1,55
2024-04-23,44,23.3,84.4,1517.9,30.1,1,55
2024-05-23,29,25.5,79.3,1726.4,27.2,1,55
2024-06-03,19,33.1,82.8,631.2,16.7,1,55
2024-04-26,15,37.3,62.0,1112.2,36.9,0,55
2024-05-22,58,36.0,72.9,967.7,33.5,0,55
2024-06-18,37,24.4,74.6,1731.2,39.7,0,55
2024-04-06,58,36.7,75.5,1665.3,20.2,1,55
2024-05-12,18,27.6,60.2,922.6,18.4,1,56
2024-01-10,34,28.7,55.6,403.1,33.9,0,55
2024-03-21,47,34.9,46.4,1048.3,33.5,0,55
2024-03-01,54,28.3,56.9,550.0,25.5,1,55
2024-03-01,21,27.8,52.9,1140.7,42.0,0,55
2024-04-01,24,33.9,55.0,1059.0,26.2,1,55
2024-02-18,32,22.0,62.5,1575.1,19.9,1,55
2024-01-12,60,23.6,52.6,456.4,26.8,1,55
2024-02-22,27,37.1,83.4,1776.1,18.6,0,55
2024-04-26,58,32.9,58.0,1470.1,41.5,0,55
2024-01-04,16,22.3,58.8,419.1,35.5,0,60
2024-04-20,15,27.8,56.6,1080.3,37.8,1,59
2024-02-24,47,23.4,56.2,561.0,22.9,1,55
2024-02-16,60,34.1,49.1,1422.6,33.3,1,55
2024-06-21,24,24.1,50.3,453.7,44.7,1,55
2024-01-20,27,21.6,47.0,970.2,24.2,1,55
2024-03-14,45,21.1,62.1,472.3,18.3,1,55
2024-03-23,41,24.4,80.8,654.5,15.0,1,55
2024-03-16,32,36.4,49.0,658.8,43.4,1,55
2024-03-04,21,32.0,72.3,1478.6,18.9,1,55
2024-06-25,52,29.5,59.9,1310.3,21.3,0,55
2024-01-05,55,33.4,49.8,1221.2,42.4,1,55
2024-06-15,21,21.3,66.9,880.1,36.8,1,56
2024-06-05,17,22.3,61.7,1396.2,41.7,1,55
2024-04-21,60,22.1,62.4,1075.9,30.7,0,55
2024-05-09,59,37.4,56.6,1738.1,16.8,1,55
2024-04-22,49,35.7,83.9,631.7,37.5,0,55
2024-04-13,53,24.9,52.4,624.0,21.5,0,55
2024-04-17,60,33.0,55.4,1593.5,23.9,1,55
2024-01-06,29,20.8,54.5,454.7,19.4,1,55
2024-03-28,18,31.6,55.0,1552.8,31.0,0,55
2024-06-20,38,25.8,82.9,1637.6,22.9,1,55
2024-05-10,35,37.7,70.0,414.6,25.7,1,55
2024-03-01,49,31.8,79.7,1714.6,32.5,0,55
2024-06-21,53,29.9,77.7,708.9,23.1,0,55
2024-04-08,42,26.6,81.1,531.2,20.4,1,55
2024-02-19,46,37.0,52.2,794.9,24.3,1,55
2024-06-20,27,21.3,47.9,743.4,42.3,0,55
2024-06-17,23,33.1,77.3,1244.6,26.3,0,55
2024-01-25,56,36.8,50.3,1478.2,23.0,0,55
2024-01-18,36,35.3,48.4,594.9,37.8,0,55
2024-03-11,45,22.8,47.2,1368.9,33.8,0,55
2024-01-04,49,25.3,65.5,1571.1,19.3,1,55
2024-02-14,39,22.7,71.2,716.2,41.4,0,55
2024-04-06,22,24.0,83.3,794.5,17.3,1,55
2024-03-03,17,30.9,52.1,1142.7,33.0,0,55
2024-06-22,34,31.2,56.5,1625.6,23.1,0,55
2024-03-26,60,34.4,76.6,1606.4,44.3,1,55
2024-02-13,43,33.0,76.4,1069.8,17.0,0,55
2024-02-03,35,37.9,52.3,939.0,24.6,0,55
2024-06-14,53,34.3,58.3,1523.0,34.6,1,55
2024-04-18,46,29.7,64.7,1150.7,21.9,0,55
2024-06-14,48,30.4,72.7,1447.6,36.1,1,55
2024-01-07,16,26.5,64.0,587.0,18.3,1,58
2024-02-10,44,22.6,79.1,1760.5,42.4,1,55
2024-02-02,23,22.1,72.8,600.3,37.0,0,55
2024-01-23,21,31.9,48.0,1572.4,41.1,0,55
2024-03-05,20,24.4,45.5,1563.5,27.5,1,55
2024-06-05,48,32.6,57.0,976.1,25.1,0,55
2024-01-05,18,35.9,46.3,1451.6,30.1,0,55
2024-04-22,44,30.0,78.2,1686.8,30.1,1,55
2024-02-09,20,29.4,84.1,575.2,21.4,0,55
2024-04-06,50,30.9,48.1,1369.4,29.3,0,55
2024-02-02,38,31.6,52.8,551.8,17.3,1,55
2024-02-10,25,29.7,47.6,1236.0,37.7,1,55
2024-05-07,55,36.7,54.6,519.1,32.1,0,55
2024-04-02,18,25.7,82.7,411.9,25.7,1,57
2024-05-07,35,33.5,74.0,1763.4,36.1,0,55
2024-04-24,47,21.8,77.3,610.3,32.6,0,55
2024-05-28,17,25.2,51.1,1048.3,41.6,0,55
2024-02-26,58,31.8,75.8,625.5,43.9,1,55
2024-02-11,33,26.5,79.2,1003.3,41.7,0,55
2024-02-20,53,21.3,51.1,1278.9,29.9,0,55
2024-03-18,20,29.0,63.2,637.6,23.9,0,55
2024-05-12,37,21.6,52.2,1480.7,22.7,0,55
2024-04-21,23,36.9,83.9,1083.6,25.9,1,55
2024-04-28,54,36.5,50.2,913.4,40.3,1,55
2024-01-22,41,29.1,55.5,1625.8,35.5,0,55
2024-06-27,50,20.1,79.1,806.9,19.7,0,55
2024-02-13,44,32.0,59.0,1055.9,31.1,0,55
2024-01-06,21,36.5,81.9,1475.5,21.0,1,55
2024-03-11,53,28.8,73.1,1066.7,23.4,0,55
2024-02-16,24,31.5,57.8,443.9,33.0,0,55
2024-03-26,42,37.6,53.5,696.1,15.7,0,55
2024-03-21,26,21.5,47.8,967.1,24.0,0,55
2024-05-07,57,36.1,52.4,475.2,41.8,0,55
2024-03-06,27,26.3,61.8,1065.7,35.7,1,55
2024-03-23,51,27.0,45.4,1496.3,32.9,0,55
2024-05-05,35,32.0,77.9,1428.1,39.8,1,55
2024-02-15,24,29.0,57.7,1508.8,35.2,1,55
2024-06-01,43,37.0,79.3,1288.0,34.2,0,55
2024-02-24,27,27.6,66.8,632.5,26.3,1,55
2024-02-22,51,37.2,59.8,909.3,24.1,1,55
2024-01-23,46,31.7,63.2,974.5,25.6,0,55
2024-03-04,26,28.3,59.9,1173.9,19.9,0,55
2024-03-28,57,32.4,62.5,796.5,33.6,0,55
2024-01-03,56,20.3,82.3,545.1,37.5,0,55
2024-05-19,17,32.0,79.1,696.6,38.3,0,55
2024-02-28,45,37.1,59.0,1511.3,28.9,0,55
2024-03-26,29,29.1,55.7,1322.2,24.2,0,55
2024-01-14,17,20.3,51.1,924.2,39.5,1,57
2024-02-19,42,24.4,83.9,669.7,34.3,0,55
